Turno;Agentes Activos;Agentes Inactivos;En Prision
1;66;1;0
2;65;2;0
3;64;3;0
4;63;4;0
5;62;5;0
6;62;5;0
7;62;5;0
8;61;6;0
9;61;6;0
10;60;7;0
11;60;6;1
12;60;5;2
13;60;5;2
14;60;5;2
15;59;6;2
16;59;7;1
17;59;7;1
18;59;8;0
19;58;9;0
20;57;10;0
21;57;10;0
22;57;10;0
23;56;11;0
24;56;10;1
25;56;10;1
26;56;9;2
27;55;10;2
28;54;12;1
29;54;13;0
30;54;13;0
31;53;14;0
32;53;14;0
33;53;14;0
34;53;13;1
35;53;13;1
36;53;13;1
37;52;14;1
38;52;13;2
39;52;12;3
40;52;11;4
